,timestamp,difficulty,hashrate,block_time
190,1585094400,477572,34169773165320,59.95
191,1585008000,462732,33098934781463,60.16
192,1584921600,454500,32593724772038,59.76
193,1584835200,443964,31760932510298,60.22
194,1584748800,413404,29630488951949,59.89
195,1584662400,414146,29663695162958,60.13
196,1584576000,455078,32382847681778,61.3
197,1584489600,467531,33253428302971,60.75
198,1584403200,449075,32235472474643,59.63
199,1584316800,441497,31570622004275,60.19
200,1584230400,433890,31017473383499,59.87
201,1584144000,435377,31109397461949,60.43
202,1584057600,419741,30099905192713,60.19
203,1583971200,411678,29267834831965,60.86
204,1583884800,401143,28757564579562,59.38
205,1583798400,410247,29339777996256,61.04
206,1583712000,381760,27423802338869,59.78
207,1583625600,392371,27864312404063,60.88
208,1583539200,401050,28665312999124,60.0
209,1583452800,388313,27853778505734,59.89
210,1583366400,384710,27500500059183,60.51
211,1583280000,392953,28028503304933,60.85
212,1583193600,410619,29457974790328,59.9
213,1583107200,396259,28220296793237,60.7
214,1583020800,380051,27231426614784,59.72
215,1582934400,393076,28098503473189,60.75
216,1582848000,380799,27237840369009,60.16
217,1582761600,385165,27569637284625,60.05
218,1582675200,375909,26857732619315,60.2
219,1582588800,380519,27265790855798,59.95
220,1582502400,372998,26587402516562,61.25
221,1582416000,381155,27338940745340,59.62
222,1582329600,387315,27723587872383,60.34
223,1582243200,395937,28305881496061,60.32
224,1582156800,361588,25845098494760,59.87
225,1582070400,366393,26172371593557,60.3
226,1581984000,378996,27179209584143,59.55
227,1581897600,358760,25479788378869,61.39
228,1581811200,383961,27519257041612,60.22
229,1581724800,395480,28286317503996,60.31
230,1581638400,399448,28626814275180,59.68
231,1581552000,393240,28069295513190,60.62
232,1581465600,381304,27235443400989,60.69
233,1581379200,395335,28408682105182,59.87
234,1581292800,365858,26094729785835,60.28
235,1581206400,326252,23396533817733,59.71
236,1581120000,337278,24084742587983,60.04
237,1581033600,348871,24916990594612,60.49
238,1580947200,346232,24697716258146,60.16
239,1580860800,338234,24190658017007,60.11
240,1580774400,334169,23954003783636,60.86
241,1580688000,323896,23254387626138,59.46
242,1580601600,319313,22795469915295,60.51
243,1580515200,317747,22708223433952,60.42
244,1580428800,329204,23637563619212,59.73
245,1580342400,313444,22392593594361,60.56
246,1580256000,309112,22131769887858,59.74
247,1580169600,320922,22849684060859,60.81
248,1580083200,298130,21446978169014,59.36
